,lon,lat,z
314,-48.240578,-0.31372875,8.214576
315,-48.24058,-0.31329894,8.224953
316,-48.24065,-0.31288427,8.23569
317,-48.24079,-0.3125182,8.247114
318,-48.24104,-0.31223345,8.259454
319,-48.241386,-0.31202778,8.272471
320,-48.24182,-0.31189704,8.285912
321,-48.242302,-0.311807,8.2994
322,-48.24281,-0.31172734,8.312673
323,-48.24336,-0.31165817,8.325547
324,-48.243908,-0.31159922,8.337906
325,-48.244434,-0.31154338,8.349324
326,-48.244915,-0.31148458,8.359566
327,-48.245396,-0.3114242,8.36871
328,-48.245827,-0.31136358,8.376835
329,-48.24624,-0.31130722,8.384195
330,-48.24665,-0.3112587,8.39091
331,-48.246994,-0.31121716,8.397017
332,-48.247337,-0.3111816,8.402562
333,-48.24763,-0.31114992,8.407406
334,-48.24787,-0.31112003,8.411536
335,-48.248077,-0.31109157,8.415099
336,-48.24823,-0.3110644,8.41818
337,-48.248367,-0.3110283,8.421167
338,-48.248505,-0.31097594,8.424301
339,-48.248642,-0.3109107,8.427512
340,-48.24878,-0.310836,8.430731
341,-48.248882,-0.3107672,8.433614
342,-48.24895,-0.31071365,8.436011
343,-48.24902,-0.3106734,8.437986
344,-48.249023,-0.31064415,8.439623
345,-48.249023,-0.31061843,8.441225
346,-48.249023,-0.31059015,8.443017
347,-48.249092,-0.31056026,8.444932
348,-48.24916,-0.31053022,8.446877
349,-48.249218,-0.31050068,8.448627
350,-48.249218,-0.31047034,8.450087
351,-48.249218,-0.31043828,8.451311
352,-48.249218,-0.31040448,8.452302
353,-48.249218,-0.3103696,8.453203
354,-48.249218,-0.31033474,8.454156
355,-48.249218,-0.31029987,8.45516
356,-48.249218,-0.310265,8.456216
357,-48.249218,-0.31023195,8.45732
358,-48.24927,-0.3102035,8.458441
359,-48.24934,-0.31018096,8.459501
360,-49.50616,0.9783896,11.529016
361,-49.505547,0.9812056,11.579011
362,-49.504997,0.98376495,11.624656
363,-49.504494,0.98607606,11.665922
364,-49.50404,0.98814994,11.702829
365,-49.503628,0.9899749,11.734982
366,-49.503216,0.9915508,11.762421
367,-49.50287,0.9929076,11.785746
368,-49.502525,0.9940725,11.805471
369,-49.50224,0.9950401,11.821375
370,-49.501987,0.99582076,11.833525
371,-49.50178,0.9964531,11.8427305
372,-49.50158,0.99696547,11.849651
373,-49.501442,0.99741423,11.855599
374,-49.501305,0.9978356,11.861346
375,-49.501205,0.9982241,11.866665
376,-49.501137,0.99858075,11.871312
377,-49.50107,0.99889815,11.875089
378,-49.501,0.99917185,11.877963
379,-49.50093,0.99940425,11.880009
380,-49.500862,0.9995987,11.881311
381,-49.500793,0.99975604,11.881931
382,-49.500725,0.9998807,11.881934
383,-49.500664,0.9999783,11.881421
384,-49.50066,1.0000622,11.880548
385,-49.50066,1.0001465,11.879694
386,-49.50066,1.0002335,11.878947
387,-49.50066,1.0003232,11.878308
388,-49.50066,1.0004159,11.877774
389,-49.50066,1.0005114,11.877222
390,-49.50066,1.0006104,11.876525
391,-49.50066,1.0007124,11.875683
392,-49.50066,1.0008178,11.874699
393,-49.50066,1.0009251,11.873675
394,-49.50066,1.0010324,11.872718
395,-49.500614,1.0011371,11.871847
396,-49.500557,1.001232,11.871116
397,-49.500557,1.001322,11.870441
398,-49.500557,1.00141,11.869753
399,-49.500557,1.0014977,11.869049
400,-48.229626,-0.32324028,7.844585
401,-48.232975,-0.32251024,8.001269
402,-48.23528,-0.32192123,8.103987
403,-48.236877,-0.32139492,8.175319
404,-48.237972,-0.3209055,8.225212
405,-48.238712,-0.32042503,8.261346
406,-48.23916,-0.31993288,8.288583
407,-48.23936,-0.31942043,8.30856
408,-48.239334,-0.31887817,8.322263
409,-48.239227,-0.31832206,8.333325
410,-48.23918,-0.31777713,8.344924
411,-48.239193,-0.31724563,8.356982
412,-48.23926,-0.3167295,8.369415
413,-48.239433,-0.31627047,8.382523
414,-48.23973,-0.31590936,8.396471
415,-48.24014,-0.3156437,8.410993
416,-48.24065,-0.31546822,8.425798
417,-48.24121,-0.31534344,8.440557
418,-48.24183,-0.3152348,8.4549885
419,-48.242447,-0.31514198,8.468948
420,-48.243065,-0.31506398,8.482338
421,-48.243683,-0.31499213,8.494719
422,-48.244263,-0.3149193,8.5057745
423,-48.244812,-0.3148467,8.515652
424,-48.24532,-0.3147756,8.524432
425,-48.2458,-0.31470972,8.53235
426,-48.246246,-0.3146524,8.539529
427,-48.24666,-0.31460243,8.546038
428,-48.247047,-0.31455925,8.551882
429,-48.24738,-0.31452033,8.556984
430,-48.247654,-0.3144835,8.5613365
