cluster_group,name,rank,dist_to_centroid,trajectory_id,cluster_label,release_year,release_month,lat_30,lon_30,lat_50,lon_50,lat_100,lon_100,lat_150,lon_150,lat_180,lon_180
4,D,10,0.21612912993928243,5731992,14,2000,12,3.7377088,-51.0003,4.871853,-52.316986,5.7921987,-54.033176,5.7994456,-56.02646,6.280229,-57.33086
4,D,11,0.21739147592075636,5754578,14,2000,12,3.7703257,-51.015667,4.8724008,-52.368202,5.7980175,-54.037613,5.812088,-56.038654,6.3660784,-57.590946
4,D,12,0.2177019683219615,5754873,14,2000,12,3.8498883,-51.03806,4.8716645,-52.362007,5.7040157,-53.783844,5.8518825,-56.036358,6.4129357,-57.624302
4,D,13,0.21781147377521534,5758004,14,2000,12,3.9054341,-51.051304,4.8929873,-52.3739,5.795507,-54.041183,5.818797,-56.04045,6.3619833,-57.538017
4,D,14,0.2178774802524283,5754518,14,2000,12,3.916941,-51.053326,4.898779,-52.374092,5.7955523,-54.033516,5.789609,-56.040096,6.2841425,-57.37525
4,D,15,0.21791304401527528,3567492,14,1997,12,3.5977106,-51.01014,4.8712764,-52.337284,5.8647556,-54.184677,5.7983856,-55.89757,6.3589306,-57.527744
4,D,16,0.21913893642153082,4313016,14,1998,12,3.5951438,-50.989746,4.8706503,-52.369938,5.86485,-54.284748,5.804713,-56.041245,6.379195,-57.501804
4,D,17,0.2192462783264553,5739628,14,2000,12,3.7469845,-51.004456,4.8708816,-52.356693,5.8289537,-54.04121,5.8651314,-56.16601,6.2014575,-57.273396
4,D,18,0.21925246617453054,5757089,14,2000,12,3.8440833,-51.03241,4.881022,-52.37387,5.865296,-54.090527,5.8334804,-56.039818,6.342141,-57.536343
4,D,19,0.21928665127885558,2102749,14,1995,11,3.7378,-50.98867,4.8700566,-52.359566,5.8071017,-54.0401,5.847751,-56.038837,6.3194847,-57.52493
4,D,20,0.21934650944723905,5758638,14,2000,12,3.8766205,-51.04083,4.874873,-52.37308,5.789183,-54.033207,5.8226466,-56.033092,6.311432,-57.531967
5,E,1,0.031230886749202286,5832534,42,2001,1,1.8806804,-50.047146,2.001703,-50.04939,2.001703,-50.042892,2.124376,-50.134132,2.124513,-50.134132
5,E,2,0.03360232992525478,5825034,42,2001,1,1.7844093,-49.92741,2.0013063,-50.058224,2.0011752,-50.041912,2.1243536,-50.13454,2.1245127,-50.13454
5,E,3,0.03374776054968129,722013,42,1994,1,1.8855069,-50.04282,2.016778,-50.041977,2.016778,-50.041676,2.124175,-50.125336,2.1245093,-50.125336
5,E,4,0.033815988318213135,5127196,42,2000,2,1.8723968,-49.97406,2.0377884,-50.047764,2.0400255,-50.04172,2.124513,-50.160885,2.124513,-50.160885
5,E,5,0.03429404254221787,722621,42,1994,1,1.8843416,-50.042767,2.019455,-50.042023,2.019455,-50.041676,2.1241033,-50.12664,2.1245086,-50.12664
5,E,6,0.03434624436447257,720647,42,1994,1,1.8917989,-50.04303,2.0168617,-50.04187,2.0168617,-50.04167,2.1244702,-50.131737,2.1245124,-50.131737
5,E,7,0.034456714050767896,727755,42,1994,1,1.8937213,-50.043068,2.0170462,-50.04185,2.0170462,-50.04167,2.1244721,-50.127254,2.1245124,-50.127254
5,E,8,0.03448612851664527,724858,42,1994,1,1.893947,-50.043076,2.0164404,-50.04185,2.0164404,-50.04167,2.1244721,-50.13496,2.1245124,-50.13496
5,E,9,0.034506752377533034,729987,42,1994,1,1.8931049,-50.043144,2.0168343,-50.04187,2.0168343,-50.04167,2.124471,-50.134193,2.1245124,-50.134193
5,E,10,0.034601299961549994,728747,42,1994,1,1.8870716,-50.043056,2.0198631,-50.041992,2.0198631,-50.041676,2.1241508,-50.125664,2.124509,-50.125664
5,E,11,0.03468947865225502,727711,42,1994,1,1.896039,-50.04307,2.0169237,-50.041832,2.0169237,-50.04167,2.1244712,-50.132095,2.1245124,-50.132095
5,E,12,0.03473577768335943,722855,42,1994,1,1.898443,-50.043076,2.0165153,-50.041813,2.0165153,-50.04167,2.1244695,-50.128925,2.1245124,-50.128925
5,E,13,0.03474320362358773,727799,42,1994,1,1.885621,-50.042953,2.020952,-50.042027,2.020952,-50.041676,2.1241062,-50.125317,2.1245086,-50.125317
5,E,14,0.034809399454312724,721361,42,1994,1,1.9001898,-50.04314,2.0163507,-50.041805,2.0163507,-50.04167,2.1244683,-50.12566,2.1245124,-50.12566
5,E,15,0.03485175615170279,720539,42,1994,1,1.8866854,-50.043144,2.020957,-50.04203,2.020957,-50.041676,2.1241064,-50.125736,2.1245086,-50.125736
